city,classification
SOSHANGUVE,OUTLYING
SOSHANGUVE SOUTH,LOCAL
SOSHANGUWE,LOCAL
SOSHANGUWE A,LOCAL
SOSHENGUVE SOUTH,LOCAL
SOUTHDALE,LOCAL
SOUTHGATE,LOCAL
SOWETO,LOCAL
SPARTAN,LOCAL
SPARTON,LOCAL
SPITSKOP PLOTTE,LOCAL
SPRINGBOK,REGIONAL
SPRINGFIELD,MAIN
SPRINGFIELD PARK,MAIN
SPRINGS,LOCAL
ST HELENA BAY,OUTLYING
Stafford - Turfontein,LOCAL
STANDERTON,OUTLYING
STANFIELD HILL,OUTLYING
STANGER,OUTLYING
STARFORD,N/A
STEELPOORT,OUTLYING
STELLENBOSCH,OUTLYING
STEVE BIKO VILLAGE,OUTLYING
STIKLAND INDUSTRIAL,MAIN
STILFONTEIN,OUTLYING
STINKWATER,OUTLYING
STOFFBERG,OUTLYING
STORMHILL,LOCAL
STRUANWAY STRUANDALE,LOCAL
STRUBENVALE,LOCAL
Strydom Park,LOCAL
SUNDERLAND RIDGE,LOCAL
SUNFORD,MAIN
SUNNINGHILL,LOCAL
SUNNY MOTOR SPARES,OUTLYING
SUPERBIA,MAIN
SWARTRUGGENS,OUTLYING
SYDENHAM,LOCAL
TAFELKOP,OUTLYING
TAUNG,OUTLYING
TEFALKOP MALL,OUTLYING
Tembisa,LOCAL
THABA NCHU,OUTLYING
THABA ZIMBI,OUTLYING
THE JUNCTION,LOCAL
THEMBA CHURCH,OUTLYING
THEMBALETH,N/A
THENGWE,OUTLYING
THERESA PARK,LOCAL
THLABANE,OUTLYING
THOHOYANDOU,OUTLYING
THOKOZA,LOCAL
THREE RIVERS,OUTLYING
TICKEYLINE,N/A
TLAGADI BUILDING,N/A
Tlhabane,OUTLYING
TOEKOMSRUS,OUTLYING
TOWNHILL,N/A
TRICHARDT,OUTLYING
TRICHARDTSDAL,OUTLYING
TROYEVILLE,LOCAL
TSAKANE,LOCAL
TSAKANE MALL,LOCAL
TSAKANI,LOCAL
TSHELOPELE,LOCAL
TSHEPISONG,LOCAL
TSHIAWELO EXT 2,LOCAL
TSHIKOMBANI VILLAGE,LOCAL
