town_code,tariff_hub,ops_branch,town_name,province,town_type,town_type_abbr,remote_km,servicing_town,service_code,location,sla_facility,zone
RTK,WIR,WIR,RIETKUIL,Mpumalanga,Outlying,O,56,HDN,OR,LOC,Outlying Bi-weekly,4
RTP,CPT,CPT,RIETPOEL,Western Cape,Outlying,O,75,CLN,OR,LOC,Outlying Adhoc,4
RPO,CPT,UTN,RIETPOORT,Western Cape,Outlying,O,223,VRE,OR,LOC,Outlying Bi-weekly,9
RTV,PZB,DUR,RIETVLEI,KwaZulu-Natal,Outlying,O,68,MRR,OR,LOC,Outlying Adhoc,5
RIT,PTG,PTG,RITA,Limpopo,Outlying,O,53,MKW,OR,LOC,Outlying Bi-weekly,4
RTH,KIM,KIM,RITCHIE,Northern Cape,Outlying,O,11,MRS,OR,LOC,Outlying Bi-weekly,2
RDS,GRJ,GRJ,RIVERSDALE,Western Cape,Regional,R,NULL,GRJ,RM,LOC,Regional Daily,4
RVS,PZB,DUR,RIVERSIDE,KwaZulu-Natal,Outlying,O,106,IXO,OR,LOC,Outlying Adhoc,4
RSD,CPT,CPT,RIVIERSONDEREND,Western Cape,Outlying,O,99,CLN,OR,LOC,Outlying Bi-weekly,5
ROB,VDB,NCS,ROBERTS DRIFT,Mpumalanga,Outlying,O,56,SNR,OR,LOC,Outlying Adhoc,5
ROR,CPT,CPT,ROBERTSON,Western Cape,Regional,R,NULL,CPT,RM,LOC,Regional Daily,5
ROC,PZB,DUR,ROCKMOUNT,KwaZulu-Natal,Outlying,O,87,MRR,OR,LOC,Outlying Adhoc,5
ROD,PZB,PSH,RODE,Eastern Cape,Outlying,O,120,KDX,OR,LOC,Outlying Adhoc,3
ROE,PTG,PTG,ROEDTAN,Limpopo,Outlying,O,92,NBR,OR,LOC,Outlying Bi-weekly,4
ROA,MSU,MSU,ROMA,NULL,Outlying,O,70,MSU,OM,BLNS,Outlying Adhoc,10
ROO,WIR,WIR,ROODEBANK,Mpumalanga,Outlying,O,45,EVD,OR,LOC,Outlying Adhoc,4
RDP,JNB,JNB,ROODEPOORT,Gauteng,Main (Suburb),S,NULL,JNB,SM,LOC,Hub,1
RBG,PTA,RTR,ROOIBERG,Limpopo,Outlying,O,106,TZB,OR,LOC,Outlying Bi-weekly,4
RBK,PTA,RTR,ROOIBOKKRAAL,Limpopo,Outlying,O,164,TZB,OR,LOC,Outlying Adhoc,6
ROG,KPR,KPR,ROOIGROND,North West,Outlying,O,36,MEI,OR,LOC,Outlying Adhoc,5
RKL,WIR,WIR,ROOIKRAAL,Limpopo,Outlying,O,87,GRO,OR,LOC,Outlying Bi-weekly,4
ROP,KIM,KIM,ROOIPAN,Free State,Outlying,O,116,JDL,OR,LOC,Outlying Adhoc,4
RWL,PTA,JNB,ROOIWAL,Free State,Regional,R,NULL,PTA,RM,LOC,Regional Bi-weekly,5
RSC,WIR,WIR,ROOSSENEKAL,Limpopo,Outlying,O,138,JFH,OR,LOC,Outlying Adhoc,4
RKD,NCS,NCS,RORKES DRIFT,KwaZulu-Natal,Outlying,O,51,NQT,OR,LOC,Outlying Adhoc,4
